,Price,Space,Rooms,Market,Year,elevator,Parking place,balkon,taras,ogródek,district,street,level,max_level
7133,660000,60,3,wtórny,1980,1,0,0,0,0, Bemowo,Uniejowska,8,9
4280,699000,60,3,wtórny,2022,1,1,0,0,0, Bemowo, Bemowo,1,11
16999,1085400,60,3,pierwotny,2021,1,1,0,0,0, Wola, Wronia,3,7
14809,660000,60,3,wtórny,2009,1,0,0,0,0, Ursus,  Skoroszewska,5,7
10000,799000,60,2,wtórny,1984,1,0,0,0,0, Praga-Północ, Jagiellońska,1,6
13434,1039999,60,2,wtórny,2013,1,1,0,0,0, Mokotów, Wyścigowa,5,6
11066,822000,60,3,wtórny,2014,1,1,0,0,0, Praga-Południe,Szaserów,2,4
20834,729000,60,2,wtórny,2012,1,1,0,0,0, Bielany, Bielany,0,7
13484,822000,60,3,wtórny,2014,1,1,0,0,0, Praga-Południe,Szaserów,2,4
5141,822000,60,3,wtórny,2014,1,1,0,0,0, Praga-Południe,Szaserów,2,4
4761,822000,60,3,wtórny,2014,1,1,0,0,0, Praga-Południe,Szaserów,2,4
3367,970000,60,3,wtórny,2015,1,1,0,0,0, Wilanów, Wilanów,1,3
20791,891000,60,2,wtórny,1950,1,0,0,0,0, Mokotów, Górny Mokotów,3,5
17774,1350000,60,3,wtórny,1934,1,1,0,0,0, Śródmieście, Polna,3,5
20398,620000,60,3,wtórny,1988,1,0,0,0,0, Ursynów,Stanisława Kazury,0,7
12755,1160000,60,3,wtórny,1952,1,1,0,0,0, Śródmieście, Śródmieście,3,6
13220,969000,60,3,wtórny,2022,1,1,0,0,0, Praga-Południe,Siennicka,2,5
11353,600000,60,3,wtórny,1971,0,0,0,0,0, Ochota, 1 Sierpnia,4,4
9635,899000,60,3,wtórny,2004,1,1,0,0,0, Praga-Południe, Gocław,9,10
8666,620000,60,3,wtórny,1988,1,0,0,0,0, Ursynów,Stanisława Kazury,0,7
17754,1440000,60,2,wtórny,1911,0,0,0,0,0, Śródmieście, Śródmieście Południowe,4,5
17318,1160000,60,3,wtórny,1952,1,1,0,0,0, Śródmieście, Śródmieście,3,6
4584,1440000,60,2,wtórny,2022,0,0,0,0,0, Śródmieście, Hoża,4,5
18252,599000,60,3,wtórny,2015,0,1,0,0,0, Białołęka, Białołęka Dworska,1,2
20119,960000,60,3,wtórny,2011,1,0,0,0,0, Wilanów, Wilanów,0,4
7673,899000,60,3,wtórny,2004,1,1,0,0,0, Praga-Południe, Gocław,9,10
151,540000,60,3,wtórny,1980,0,0,0,0,0, Praga-Południe, Znanieckiego,3,4
