Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Ursynów, ul. Batystowa",1134000,52.7,2,,,,balkon,4/4,
"Warszawa, Białołęka, ul. Ceramiczna",,69.19,3,,,,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Wesoła, ul. Stefana Żeromskiego",,64.48,3,,,,,1/5,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Ludwiki",,39.37,2,,,,,1/8,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Tadeusza Hennela",456228,40.02,2,,,,,parter/7,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Rozłogi",,32.26,1,,,,,6/6,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Ludwiki",,105.04,4,,,,,1/8,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław, ul. gen. Tadeusza Bora-Komorowskiego",515000,54,2,wtórny,1983,nie,balkon,10/10,
"Warszawa, Ursus, ul. Tadeusza Hennela",440037,37.61,1,,,,,6/7,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Stare Miasto",1548000,101,3,wtórny,1950,nie,,3/3,
"Warszawa, Śródmieście, Nowolipki",780000,52.5,2,wtórny,2022-07-07,nie,,1/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Aluzyjna",,55.72,3,,,,ogródek,parter/5,garaż/miejsce parkingowe
"Warszawa, Włochy",480000,39.89,2,pierwotny,2022,tak,balkon,5/5,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Edwarda Józefa Abramowskiego",1062000,58.27,3,,,,,3/8,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,41.49,2,,,,balkon,2/7,garaż/miejsce parkingowe
"Warszawa, Bemowo, Zaborowska",685000,78,3,wtórny,1997,"telewizja kablowa, internet",balkon,4/5,
"Warszawa, Białołęka, ul. Ceramiczna",527553,45.09,2,,,,"taras, ogródek",parter/5,garaż/miejsce parkingowe
"Warszawa, Ursus, Mariana Keniga",375000,32.2,2,wtórny,1978,tak,,parter/10,
"Warszawa, Targówek, Bródno",830000,63.92,2,wtórny,2022-07-31,plastikowe,taras,1/5,
"ul. Herbu Oksza, Warszawa, mazowieckie",,90.54,5,,,,balkon,2/7,garaż/miejsce parkingowe
"Warszawa, Targówek, ul. Żytomierska",548361,49.95,2,,,,ogródek,parter/6,garaż/miejsce parkingowe
"Warszawa, Wilanów, ul. Trójpolowa",667940,51.38,3,,,,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Tadeusza Hennela",525352,48.87,2,,,,"taras, ogródek",parter/7,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Konik Polny",,44.18,2,,,,balkon,2/2,garaż/miejsce parkingowe
"ul. Wybrzeże Puckie, Warszawa, mazowieckie",,34.58,2,,,,balkon,6/7,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Ceramiczna",,100.69,4,,,,"taras, ogródek",parter/5,garaż/miejsce parkingowe
"ul. Dionizosa, Warszawa, mazowieckie",,80.52,4,,,,"taras, balkon",1/8,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Odłogi",,48.46,2,,,,balkon,parter/2,garaż/miejsce parkingowe
"ul. Herbu Oksza, Warszawa, mazowieckie",,54.18,2,,,,balkon,2/7,garaż/miejsce parkingowe
